Name
Self help
The power of habit
Who moved my cheese
Atomic Habits
Thinking fast and slow
Deep work
The subtle art of not giving a f*ck
7 Habits of Highly Effective People
Monk who sold his Ferrari
"Sometimes you win, Sometimes you learn"
Tuesdays with Morrie
Kafka on the shore
The alchemist
A new earth
Business
Rich dad poor dad
The richest man in babylon
The $100 startup
Zero to One
Psychology of Money
The Little Book of Market Myths
The Lean startup
BIOGRAPHIES & AUTOBIOGRAPHIES
"Surely You're Joking, Mr. Feynman"
A Promised Land
Jeff Bezos
Steve Jobs
Elon Musk
The Warren Buffett Way
Bill Gates
